record_id,redcap_repeat_instrument,redcap_repeat_instance,form_name,meta_project_name,cdm_source_table,table_description,Dremio role that has access,script_that_generates,cdm_sql_query_pathname,cbio_timeline_file_production,cbio_timeline_file_testing,yaml_timeline_variable_map,cbio_deid_filename,cbio_timeline_reason_for_missing_data,cbio_timeline_data_source,cbio_data_source_link,cbio_summary_id_patient,cbio_summary_id_sample,key_primary,key_secondary
15,tables,1,Prior Medications Clindoc Notes,prior_medications,medications/notes_formatted_impact.tsv,Clindoc notes that may contain information about medication use from outside hospitals prior to coming to MSK,,,,,,,,,,,,,CDD_MRN,
15,tables,2,Prior Medications Prediction,prior_medications,medications/prior_tx_inferences/prior_tx_inferences_impact_combined.tsv,Provides inferred probability that a patient received medication prior to the MRN create date at MSKCC,,,,,,,,,,,MRN,,MRN,
15,tables,3,Prior Outside Medications,prior_medications,medications/prior_tx_inferences/prior_tx_inferences_impact_cbio_timeline.tsv,Inferred probability that a patient received medication outside of MSK derived from initial consult notes. ,,,,x,x,timeline_prior_meds,data_timeline_prior_meds.txt,"Initial consult (IC) notes need to be (1) within a list of acceptable note types, (2) be within 90 days of first MSK dates if patients have multiple primaries. Note types consist of medical oncologists, radiation oncologists, surgery, inpatient services and others, as they are most likely to contain information about external treatments prior to MSK.",NLP generated  from initial consult notes,https://github.mskcc.org/cdsi/msk-impact/blob/master/msk_solid_heme/data_timeline_prior_meds.txt,MRN,,MRN,
16,,,,,,,,,,,,,,,,,,,,
16,tables,1,Comorbidities Socioeconomic Yost Index,yost_socioeconomic_status,comorbidities/yost_index_results.tsv,"Yost index (a measure of socioeconomic status) for all IMPACT patients, based on the patient address (census tract-level)",,,,,,,,,,,MRN,,MRN,
27,,,,,,,,,,,,,,,,,,,,
27,tables,1,Genomic Ancestry,genomic_ancestry,demographics/table_ancestry.tsv,Genomic ancestry calls derived from Kanika Arora ,,,,,,,,,,,MRN,,MRN,
28,,,,,,,,,,,,,,,,,,,,
28,tables,1,cBioPortal Overall Survival,cbioportal_etl,demographics/overall_survival_cbioportal.tsv,Overall survival calculated from first sequenced sample,,cdm_repos/cdm-cbioportal-etl/summary/cbioportal_overall_survival.py,,,,,,,,,DMP_ID,,DMP_ID,
29,,,,,,,,,,,,,,,,,,,,
29,tables,1,Allostatic Load Vitals,allostatic_load,comorbidites/allostatic_load_vitals_updated.tsv,Vital sign data for allostatic load calculations,,,idb_queries/allostatic_load/allostatic_load_vitals.sql,,,,,,,,,,CDD_MRN,
29,tables,2,Allostatic Load Labs,allostatic_load,comorbidites/allostatic_load_labs.tsv,Lab data for allostatic load calculations,,,idb_queries/allostatic_load/allostatic_load_labs.sql,,,,,,,,,,LR_MRN,
30,,,,,,,,,,,,,,,,,,,,
30,tables,1,IMPACT Patient Summary,cbioportal_impact_genomics,cloned to file system,Clinical attributes specific to individual patients.,,https://github.mskcc.org/cdsi/msk-impact,NA,,,,,,,,PATIENT_ID,,PATIENT_ID,
30,tables,2,IMPACT Sample Summary,cbioportal_impact_genomics,cloned to file system,Genomic and clinical attributes specific to the tumor or blood specimen sequenced.,,https://github.mskcc.org/cdsi/msk-impact,NA,,,,,,,,PATIENT_ID,SAMPLE_ID,PATIENT_ID,SAMPLE_ID
31,,,,,,,,,,,,,,,,,,,,
31,tables,1,ECOG KPS Values Raw,adverse_events,clindoc/ecog/impact/ecog_kps_predictions.tsv,"Extracted values for ECOG and KPS, standardized to KPS",,,,,,,,,,,,,MRN,
31,tables,2,ECOG-KPS Patient Summary,adverse_events,clindoc/ecog/impact/table_summary_ecog_patient.tsv,Patient level summary for first reported KPS or ECOG value,,adverse-events/pipeline/cbioportal/cbioportal_summary_ecog.py.py,,,,,,,,,MRN,,MRN,
31,tables,3,ECOG-KPS,adverse_events,clindoc/ecog/impact/table_timeline_ecog_kps.tsv,Timeline of KPS or ECOG values provided by patient,,adverse-events/pipeline/cbioportal/cbioportal_timeline_ecog.py,,x,x,timeline_ecog_kps,data_timeline_ecog_kps.txt,No data in clindoc notes noting KPS or ECOG information to use regex to extract info.,Derived from clindoc notes,https://github.mskcc.org/cdsi/msk-impact/blob/master/msk_solid_heme/data_timeline_ecog.txt,,,MRN,
32,,,,,,,,,,,,,,,,,,,,
32,tables,1,Cancer Presence Raw,cancer_presence,radiology/cancer_presence/impact/radiology_cancer_presence_predictions_timeline.tsv,"Inference results for windows of disease-free status mentioned in CT, PET, and MRI radiology report impressions. Minimum window for disease-free status windows are 6 months long.",,,,,,,,,,,,,MRN,
32,tables,2,Disease-Free Status,cancer_presence,radiology/cancer_presence/impact/table_timeline_cancer_presence.tsv,"Inference results for windows of disease-free status mentioned in CT, PET, and MRI radiology report impressions. Minimum window for disease-free status windows are 6 months long.",,,,x,x,timeline_cancer_presence,data_timeline_cancer_presence.txt,No CT/PET/MRI radiology report available for patient. Impression section missing from report.,NLP generated  from radiology report impressions,https://github.mskcc.org/cdsi/msk-impact/blob/master/msk_solid_heme/data_timeline_cancer_presence.txt,,,MRN,
