record_id,redcap_repeat_instrument,redcap_repeat_instance,form_name,field_name,nlp_derived,field_type,field_label,field_note,text_validation_type_or_sh,identifier,extract_label,for_cbioportal,for_docs_site,for_test_portal,fill_value,reasons_for_missing_data,souce_from_idb_or_cdm,adapted_from_col,adapted_from_table,extract_name_id,palantir_dataset,palantir_unified_column,epic_table_name,epic_column_name
2,metadata,3,Cancer Diagnosis,Tumor Diagnosis Date,,STRING,Tumor Diagnosis Date,Date of primary cancer diagnosis via tumor registry,date_mdy,y,,,,,,,,,,,,,,
2,metadata,4,Cancer Diagnosis,ICD_BILLING_CODE,,STRING,ICD Billing Code,ICD Billing Code (version 9 or 10),,,,,,,,,,,,,,,,
2,metadata,5,Cancer Diagnosis,ICD_BILLING_DX_DESC,,STRING,ICD Billing Code Description,Description of given ICD billing code,,,,,,,,,,,,,,,,
2,metadata,6,Cancer Diagnosis,ICD-O Site Code,,STRING,ICD-O Site Code,NCI ICD-O Site Code,,,,,,,,,,,,,,,,
2,metadata,7,Cancer Diagnosis,ICD-O Site Desc,,STRING,ICD-O Site Desc,NCI ICD-O Organ Site Description,,,,,,,,,,,,,,,,
2,metadata,8,Cancer Diagnosis,ICD-O Histology Code,,STRING,ICD-O Histology Code,NCI ICD-O Histology Code,,,,,,,,,,,,,,,,
2,metadata,9,Cancer Diagnosis,ICD-O Histology Desc,,STRING,ICD-O Histology Desc,NCI ICD-O Histology Description,,,,,,,,,,,,,,,,
2,metadata,10,Cancer Diagnosis,Clinical Group,,STRING,Clinical Group,Clinical cancer stage,,,,,,,,,,,,,,,,
2,metadata,11,Cancer Diagnosis,Path Group,,STRING,Path Group,Pathological cancer stage,,,,,,,,,,,,,,,,
2,metadata,12,Cancer Diagnosis,AJCC,,STRING,AJCC,AJCC cancer stage,,,,,,,,,,,,,,,,
2,metadata,13,Cancer Diagnosis,Summary,,STRING,Summary,Curated summary of cancer stage,,,,,,,,,,,,,,,,
2,metadata,14,Cancer Diagnosis,MSK Stage,,STRING,MSK Stage,Curated summary of cancer stage,,,,,,,,,,,,,,,,
2,metadata,15,Cancer Diagnosis,DX_TYPE,,STRING,Diagnosis Type,Diagnosis data entry type (Primary or Disease cancer),,,,,,,,,,,,,,,,
2,metadata,16,Cancer Diagnosis,CATEGORY1,,STRING,Cancer Site Description L1,Cancer Site Description L1 (Most general),,,,,,,,,,,,,,,,
2,metadata,17,Cancer Diagnosis,CATEGORY2,,STRING,Cancer Site Description L2,Cancer Site Description L2,,,,,,,,,,,,,,,,
2,metadata,18,Cancer Diagnosis,CATEGORY3,,STRING,Cancer Site Description L3,Cancer Site Description L3,,,,,,,,,,,,,,,,
2,metadata,19,Cancer Diagnosis,CATEGORY4,,STRING,Cancer Site Description L4,Cancer Site Description L4 (Most specific),,,,,,,,,,,,,,,,
2,metadata,20,Cancer Diagnosis,DX_DESCRIPTION,,STRING,Cancer Diagnosis Description,Cancer Diagnosis Description,,,,,,,,,,,,,,,,
2,metadata,21,Cancer Diagnosis,SOURCE,,STRING,Cancer Dx Database Source,ICD Billing or Tumor Registry,,,,,,,,,,,,,,,,
2,metadata,22,Cancer Diagnosis Clean,MRN,,STRING,MRN,Medical Record Number,,y,,,,,,,,,,,,,,
2,metadata,23,Cancer Diagnosis Clean,ICD-9/10 Dx Code,,STRING,ICD Billing Code,ICD Billing Code (version 9 or 10),,,,,,,,,,ICD_BILLING_CODE,diagnosis/ddp_dx.tsv,,,,,
2,metadata,24,Cancer Diagnosis Clean,Diagnosis,,STRING,ICD Billing Code Description,Description of given ICD billing code,,,,,,,,,,ICD_BILLING_DX_DESC,diagnosis/ddp_dx.tsv,,,,,
2,metadata,25,Cancer Diagnosis Clean,ICD-O Site Code,,STRING,ICD-O Site Code,NCI ICD-O Site Code,,,,,,,,,,ICD-O Site Code,diagnosis/ddp_dx.tsv,,,,,
2,metadata,26,Cancer Diagnosis Clean,ICD-O Site Desc,,STRING,ICD-O Site Desc,NCI ICD-O Organ Site Description,,,,,,,,,,ICD-O Site Desc,diagnosis/ddp_dx.tsv,,,,,
2,metadata,27,Cancer Diagnosis Clean,ICD-O Histology Code,,STRING,ICD-O Histology Code,NCI ICD-O Histology Code,,,,,,,,,,ICD-O Histology Code,diagnosis/ddp_dx.tsv,,,,,
2,metadata,28,Cancer Diagnosis Clean,ICD-O Histology Desc,,STRING,ICD-O Histology Desc,NCI ICD-O Histology Description,,,,,,,,,,ICD-O Histology Desc,diagnosis/ddp_dx.tsv,,,,,
2,metadata,29,Cancer Diagnosis Clean,Clinical Group,,STRING,Clinical Group,Clinical cancer stage,,,,,,,,,,Clinical Group,diagnosis/ddp_dx.tsv,,,,,
2,metadata,30,Cancer Diagnosis Clean,Path Group,,STRING,Path Group,Pathological cancer stage,,,,,,,,,,Path Group,diagnosis/ddp_dx.tsv,,,,,
2,metadata,31,Cancer Diagnosis Clean,AJCC,,STRING,AJCC,AJCC cancer stage,,,,,,,,,,AJCC,diagnosis/ddp_dx.tsv,,,,,
2,metadata,32,Cancer Diagnosis Clean,Summary,,STRING,Summary,Curated summary of cancer stage,,,,,,,,,,Summary,diagnosis/ddp_dx.tsv,,,,,
2,metadata,33,Cancer Diagnosis Clean,MSK Stage,,STRING,MSK Stage,Curated summary of cancer stage,,,,,,,,,,MSK Stage,diagnosis/ddp_dx.tsv,,,,,
2,metadata,34,Cancer Diagnosis Clean,Diagnosis Type,,STRING,Diagnosis Type,Diagnosis data entry type (Primary or Disease cancer),,,,,,,,,,DX_TYPE,diagnosis/ddp_dx.tsv,,,,,
2,metadata,35,Cancer Diagnosis Clean,CATEGORY1,,STRING,Cancer Site Description L1,Cancer Site Description L1 (Most general),,,,,,,,,,CATEGORY1,diagnosis/ddp_dx.tsv,,,,,
2,metadata,36,Cancer Diagnosis Clean,CATEGORY2,,STRING,Cancer Site Description L2,Cancer Site Description L2,,,,,,,,,,CATEGORY2,diagnosis/ddp_dx.tsv,,,,,
2,metadata,37,Cancer Diagnosis Clean,CATEGORY3,,STRING,Cancer Site Description L3,Cancer Site Description L3,,,,,,,,,,CATEGORY3,diagnosis/ddp_dx.tsv,,,,,
2,metadata,38,Cancer Diagnosis Clean,CATEGORY4,,STRING,Cancer Site Description L4,Cancer Site Description L4 (Most specific),,,,,,,,,,CATEGORY4,diagnosis/ddp_dx.tsv,,,,,
2,metadata,39,Cancer Diagnosis Clean,Diagnosis Description,,STRING,Cancer Diagnosis Description,Cancer Diagnosis Description,,,,,,,,,,DX_DESCRIPTION,diagnosis/ddp_dx.tsv,,,,,
2,metadata,40,Cancer Diagnosis Clean,Source,,STRING,Cancer Dx Database Source,ICD Billing or Tumor Registry,,,,,,,,,,SOURCE,diagnosis/ddp_dx.tsv,,,,,
2,metadata,41,Cancer Diagnosis Clean,Diagnosis Date,,STRING,Cancer Diagnosis Date,"Date of cancer diagnosis via tumor registry or ICD billing, according to ""Source""",date_mdy,y,,,,,,,,,,,,,,
2,metadata,44,Cancer Diagnosis Clean,IS_MET_ICD_BILLING,,STRING,Indicator Billing Code for Mets,"Logical (True/False) Billing Code for specific, non-specific, and LNMets",,,,,,,,,,,,,,,,
2,metadata,45,Cancer Diagnosis Clean,IS_MET_ICD_BILLING_OTHER,,STRING,Indicator Billing Code for Unspecified Mets,"Indicator for unspecified met billing codes including ('OTHER SPECIFIED', 'UNSPECIFIED SITE', 'MET CANCER')",,,,,,,,,,,,,,,,
2,metadata,46,Cancer Diagnosis Clean,IS_MET_ICD_BILLING_LN,,STRING,Indicator Billing Code for LN mets,"Indicator for ln met billing codes including ('NODE', 'LYMPH', 'LN')",,,,,,,,,,,,,,,,
2,metadata,47,Cancer Diagnosis Clean,IS_MET_ICD_BILLING_NON_LN,,STRING,Indicator Billing Code for Distant Mets,Indicator for distant mets,,,,,,,,,,,,,,,,
2,metadata,48,Cancer Diagnosis Clean,IS_NON_CANCER,,STRING,Indicator for Non-Cancer Entry ,True if CATEGORY1 == 'Non-Cancer',,,,,,,,,,,,,,,,
2,metadata,49,Cancer Diagnosis Clean,IS_INVALID_LABEL,,STRING,Indicator for Invalid Entry ,True if CATEGORY1 == 'Invalid',,,,,,,,,,,,,,,,
2,metadata,50,Cancer Diagnosis Clean,DATE_AT_FIRST_ICDO_DX,,STRING,Date of First Tumor Registry Entry,Date of First Tumor Registry (ICD-O) Entry,date_mdy,y,,,,,,,,,,,,,,
2,metadata,51,Cancer Diagnosis Clean,DATE_AT_LAST_MALIGNANT_PRIMARY,,STRING,Date of Last Primary Cancer Entry,Date of Last Primary Cancer Entry (Either Billing or ICD-O),date_mdy,y,,,,,,,,,,,,,,
2,metadata,52,Cancer Diagnosis Clean,IS_ICDO_DX,,STRING,Indicator Tumor Registry Entry,Logical (True/False) Tumor Registry Entry,,,,,,,,,,,,,,,,
2,metadata,53,Cancer Diagnosis Clean,IS_STAGE_IV_ICDO,,STRING,Indicator Stage IV Tumor Registry Entry,"Logical Stage IV Tumor Registry Entry (If 'AJCC' contains 'IV' or ['Clinical Group', 'Path Group'] contains '4')",,,,,,,,,,,,,,,,
2,metadata,54,Cancer Diagnosis Clean,IS_SOLID_TUMOR,,STRING,Indicator for Solid Tumor,"Indicates if cancer is NOT ('Myeloma', 'Invalid', 'Lymphoma', 'Leukemia',  'Miscellaneous', 'Non-Cancer')",,,,,,,,,,,,,,,,
2,metadata,55,Cancer Diagnosis Clean,IS_STAGE_IV_ICDO_SOLID,,STRING,"Indicator Stage IV Tumor Registry Entry, Solid Tumors",AND logical for ('IS_STAGE_IV_ICDO' & 'IS_SOLID_TUMOR'),,,,,,,,,,,,,,,,
2,metadata,56,Cancer Diagnosis Clean,IS_STAGE_IV_ICDO_LIQUID,,STRING,"Indicator Stage IV Tumor Registry Entry, Liquid Tumors","AND logical for ('IS_STAGE_IV_ICDO' & ['Myeloma', 'Lymphoma', 'Leukemia'])",,,,,,,,,,,,,,,,
2,metadata,57,Cancer Diagnosis Clean,ICDO_IS_LOCAL,,STRING,Indicator Tumor Registry Entry w/ Local Disease,Logical if 'Summary' == 'Localized',,,,,,,,,,,,,,,,
2,metadata,58,Cancer Diagnosis Clean,ICDO_IS_REGIONAL_GENERAL,,STRING,Indicator Tumor Registry Entry w/ Regional Disease,"Logical if 'Summary' contains 'Regional' (Including to LN, direct ext, or NOS)",,,,,,,,,,,,,,,,
2,metadata,59,Cancer Diagnosis Clean,ICDO_IS_DISTANT,,STRING,Indicator Tumor Registry Entry w/ Distant Disease,Logical if 'Summary' contains 'Distant',,,,,,,,,,,,,,,,
2,metadata,60,Cancer Diagnosis Clean,ICDO_IS_IN_SITU,,STRING,Indicator Tumor Registry Entry w/ In Situ Disease,Logical if 'Summary' == 'In Situ',,,,,,,,,,,,,,,,
2,metadata,61,Cancer Diagnosis Clean,ICDO_IS_REGIONAL_LYMPH,,STRING,Indicator Tumor Registry Entry w/ Regional LN,Logical if 'Summary' contains Regional to LN,,,,,,,,,,,,,,,,
2,metadata,62,Cancer Diagnosis Clean,ICDO_IS_REGIONAL_DIRECT_EXT,,STRING,Indicator Tumor Registry Entry w/ Direct Ext,Logical if 'Summary' contains Regional by direct extension,,,,,,,,,,,,,,,,
2,metadata,63,Cancer Diagnosis Clean,ICDO_IS_UNSTAGED,,STRING,Indicator Tumor Registry Entry w/o Staging,Logical if 'Summary' is Unknown/Unstaged,,,,,,,,,,,,,,,,
2,metadata,64,Cancer Diagnosis Clean,ICDO_IS_STAGE_NA,,STRING,Indicator Tumor Registry Entry Staging N/A,Logical if 'Summary' is Not applicable,,,,,,,,,,,,,,,,
2,metadata,65,Cancer Diagnosis Clean,ICDO_IS_DISTANT_SOLID,,STRING,"Indicator Distant Tumor Registry Entry, Solid Tumors",AND logical for ('ICDO_IS_DISTANT' & 'IS_SOLID_TUMOR'),,,,,,,,,,,,,,,,
2,metadata,66,Cancer Diagnosis Clean,ICDO_IS_DISTANT_LIQUID,,STRING,"Indicator Distant Tumor Registry Entry, Liquid Tumors","AND logical for ('ICDO_IS_DISTANT' & ['Myeloma', 'Lymphoma', 'Leukemia'])",,,,,,,,,,,,,,,,
2,metadata,67,Cancer Diagnosis Clean,IS_MALIGNANT_PRIMARY,,STRING,Indicator for Malignant Primary ICD Billing ,Logical for billing code for cancer that is not invalid or non-cancer,,,,,,,,,,,,,,,,
2,metadata,68,Cancer Diagnosis Clean,METASTATIC_SITE,,STRING,Metastatic Site (Standardized),Mapping from https://github.com/clinical-data-mining/cdm-utilities/blob/main/organ_site_mappings/xwalk_met_site_to_billing_codes.csv,,,,,,,,,,,,,,,,
2,metadata,69,Cancer Diagnosis Summary,MRN,,STRING,MRN,Medical Record Number,,y,,,,,,,,,,,,,,
2,metadata,70,Cancer Diagnosis Summary,DATE_AT_FIRST_ICDO_DX,,STRING,Date of First Tumor Registry Entry,Date of First Tumor Registry (ICD-O) Entry,date_mdy,y,,,,,,,,DATE_AT_FIRST_ICDO_DX,diagnosis/table_diagnosis_clean.tsv,,,,,
2,metadata,71,Cancer Diagnosis Summary,STAGE_HIGHEST_RECORDED,,STRING,Stage (Highest Recorded),"Highest recorded stage in tumor registry (ICD-O). Data has been aggregated from the CDM derived stage information, which bins stage in ""stage 1-3"" and ""stage 4"".",,,,x,x,x,Unknown,Stage data not entered by admins in tumor registry,Derived from IDB/Revenue Management System (RMS) dates,,,Metastasis present (MSK36769180),,,,
2,metadata,72,Cancer Diagnosis Summary,NUM_ICDO_DX,,INT,Number of Tumor Registry Entries,Number of Tumor Registry Entries for patient,,,,x,x,x,0,No tumor registry data entered for patient,NLP generated (Via IDB/Revenue Management System (RMS) dates),,,Number of cancer registry entries (MSKL2140003276),,,,
2,metadata,73,Cancer Diagnosis Summary,DT_FIRST_LAST_DX_DAYS,,STRING,Days from First to Last CA Entry,Including ICD Billing and tumor registry,,,,,,,,,,,,,,,,
2,metadata,74,IMPACT Sample Data,SAMPLE_ID,,STRING,Sample ID,MSK-IMPACT Sample ID,,,,,,,,,,,,,,,,
2,metadata,75,IMPACT Sample Data,DMP_ID,,STRING,Patient ID,MSK-IMPACT Patient ID,,,,,,,,,,,,,,,,
2,metadata,76,IMPACT Sample Data,AGE_AT_SEQ_REPORTED_YEARS,,STRING,,,,,,,,,,,,,,,,,,
2,metadata,77,IMPACT Sample Data,ARCHER,,STRING,,,,,,,,,,,,,,Archer panel performed (MSKL2140003272),,,,
2,metadata,78,IMPACT Sample Data,CANCER_TYPE,,STRING,,,,,,,,,,,,,,"Cancer type, OncoTree (MSKL2140003271)",,,,
2,metadata,79,IMPACT Sample Data,CANCER_TYPE_DETAILED,,STRING,,,,,,,,,,,,,,"Cancer diagnosis, OncoTree (MSKL2140002599)",,,,
2,metadata,80,IMPACT Sample Data,CVR_TMB_COHORT_PERCENTILE,,STRING,,,,,,,,,,,,,,,,,,
2,metadata,81,IMPACT Sample Data,CVR_TMB_SCORE,,STRING,,,,,,,,,,,,,,Tumor mutation burden (MSKL2140000779),,,,
2,metadata,82,IMPACT Sample Data,CVR_TMB_TT_COHORT_PERCENTILE,,STRING,,,,,,,,,,,,,,,,,,
2,metadata,83,IMPACT Sample Data,DATE_ADDED,,STRING,,,,,,,,,,,,,,,,,,
2,metadata,84,IMPACT Sample Data,FRACTION_GENOME_ALTERED,,STRING,,,,,,,,,,,,,,,,,,
2,metadata,85,IMPACT Sample Data,GENE_PANEL,,STRING,Gene Panel,Gene panel used for sequencing,,,,,,,,,,,,Molecular test (MSK4263971),,,,
2,metadata,86,IMPACT Sample Data,INSTITUTE,,STRING,,,,,,,,,,,,,,,,,,
2,metadata,87,IMPACT Sample Data,METASTATIC_SITE,,STRING,Metastatic Site,Anatomical site of metastasis (Blank if sample is primary),,,,,,,,,,,,"Site of metastatic tumor, ICD-O-3 (MSKL2140000797)",,,,
2,metadata,88,IMPACT Sample Data,MGMT_STATUS,,STRING,,,,,,,,,,,,,,,,,,
2,metadata,89,IMPACT Sample Data,MONTH_ADDED,,STRING,,,,,,,,,,,,,,Year and month data added to cBioPortal (MSKL2140003274),,,,
2,metadata,90,IMPACT Sample Data,MSI_COMMENT,,STRING,,,,,,,,,,,,,,,,,,
2,metadata,91,IMPACT Sample Data,MSI_SCORE,,STRING,,,,,,,,,,,,,,MSI score (MSKL2140000780),,,,
2,metadata,92,IMPACT Sample Data,MSI_TYPE,,STRING,,,,,,,,,,,,,,Microsatellite instability test interpretation (MSK21493972),,,,
2,metadata,93,IMPACT Sample Data,MSK_SLIDE_ID,,STRING,,,,,,,,,,,,,,,,,,
2,metadata,94,IMPACT Sample Data,MUTATION_COUNT,,STRING,,,,,,,,,,,,,,Number of variants present (MSKL2140003235),,,,
2,metadata,95,IMPACT Sample Data,ONCOTREE_CODE,,STRING,,,,,,,,,,,,,,"Cancer diagnosis, OncoTree (MSKL2140002599)",,,,
2,metadata,96,IMPACT Sample Data,PATH_SLIDE_EXISTS,,STRING,,,,,,,,,,,,,,,,,,
2,metadata,97,IMPACT Sample Data,PRIMARY_SITE,,STRING,Primary Site,Anatomical site of primary cancer,,,,,,,,,,,,"Site of primary tumor, ICD-O-3 (MSKL2140001985)",,,,
2,metadata,98,IMPACT Sample Data,SAMPLE_CLASS,,STRING,,,,,,,,,,,,,,Specimen type (MSK4154128),,,,
2,metadata,99,IMPACT Sample Data,SAMPLE_COVERAGE,,STRING,,,,,,,,,,,,,,,,,,
2,metadata,100,IMPACT Sample Data,SAMPLE_TYPE,,STRING,Sample Type,Type of sample sequenced (Primary or Met),,,,,,,,,,,,Specimen class (MSKL2140000541),,,,
2,metadata,101,IMPACT Sample Data,SOMATIC_STATUS,,STRING,,,,,,,,,,,,,,Somatic mutation matching status (MSKL2140000796),,,,
2,metadata,102,IMPACT Sample Data,SO_COMMENTS,,STRING,,,,,,,,,,,,,,,,,,
2,metadata,103,IMPACT Sample Data,TUMOR_PURITY,,STRING,,,,,,,,,,,,,,Tumor purity (%) (MSKL2140000654),,,,
2,metadata,104,IMPACT Sample Data,WEEK_ADDED,,STRING,,,,,,,,,,,,,,Year and week data added to cBioPortal (MSKL2140003273),,,,
2,metadata,105,IMPACT Sample Data,WHO_GRADE,,STRING,,,,,,,,,,,,,,,,,,
2,metadata,106,IMPACT Sample Data,METASTATIC_SITE_STANDARD,,STRING,Metastatic Site (Standardized),Standardized anatomical site of metastasis (Mapping from https://github.com/clinical-data-mining/cdm-utilities/blob/main/organ_site_mappings/xwalk_met_site_to_impact_site_name.csv),,,,,,,,,,,,,,,,
2,metadata,107,IMPACT Sample Data,clean_site,,STRING,,,,,,,,,,,,,,,,,,
2,metadata,108,IMPACT Clinical Sample File Summary,DMP_ID,,STRING,Patient ID,MSK-IMPACT Patient ID,,,,,,,,,,,,,,,,
2,metadata,109,IMPACT Clinical Sample File Summary,NUM_IMPACT_SAMPLES,,STRING,Number of IMPACT Samples,Number of IMPACT sequenced samples a patient has,,,,,,,,,,,,,,,,
2,metadata,110,IMPACT Clinical Sample File Summary,NUM_PRIMARY_DX_IMPACT,,STRING,Number of Distinct Primaries (IMPACT),"Number of Distinct Primaries, according to the IMPACT sample database",,,,,,,,,,,,,,,,
2,metadata,111,IMPACT Clinical Sample File Summary,HAS_MULTIPLE_PRIMARY_DX_IMPACT,,STRING,Indicator Patient has Multiple Primaries,True if NUM_PRIMARY_DX_IMPACT > 1,,,,,,,,,,,,,,,,
2,metadata,112,IMPACT Clinical Sample File Summary,NUM_PRIMARY_SAMPLES,,STRING,Number of IMPACT Samples (Primary),Number of IMPACT sequenced primary samples,,,,,,,,,,,,,,,,
2,metadata,113,IMPACT Clinical Sample File Summary,NUM_MET_SAMPLES,,STRING,Number of IMPACT Samples (Mets),Number of IMPACT sequenced met samples,,,,,,,,,,,,,,,,
2,metadata,114,IMPACT Clinical Sample File Summary,HAS_IMPACT_MET,,STRING,Indicator Patient has Sequenced Mets,True if NUM_MET_SAMPLES > 0,,,,,,,,,,,,,,,,
2,metadata,115,Primary Diagnoses from Tumor Registry,MRN,,STRING,MRN,Medical Record Number,,y,,,,,,,,,,,,,,
2,metadata,116,Primary Diagnoses from Tumor Registry,START_DATE,,STRING,Date of Diagnosis,Date of diagnosis via ICD-O tumor registry data,date_mdy,y,,,,,,,,,,,,,,
2,metadata,117,Primary Diagnoses from Tumor Registry,STOP_DATE,,STRING,Date of Diagnosis (Stop Date),All should be blank (Used for cbioportal etl purposes),,,,,,,,,,,,,,,,
2,metadata,118,Primary Diagnoses from Tumor Registry,EVENT_TYPE,,STRING,Event Type (Diagnosis),All should be under Diagnosis (portal track),,,,,,,,,,,,,,,,
2,metadata,119,Primary Diagnoses from Tumor Registry,SUBTYPE,,STRING,Subtype (Primary),All should be Primary (portal sub track),,,,,,,,,,,,,,,,
2,metadata,120,Primary Diagnoses from Tumor Registry,SOURCE,,STRING,Source (Primary),All should be Tumor Registry (portal sub track),,,,,,,,,,,,,,,,
2,metadata,121,Primary Diagnoses from Tumor Registry,DX_DESCRIPTION,,STRING,Diagnosis Description (Primary),"Standardized ICD-O data entry info including histology, site, codes, and stage",,,,,,,,,,,,,,,,
2,metadata,122,Primary Diagnoses from Tumor Registry,AJCC,,STRING,Cancer Stage - AJCC,AJCC staging via tumor registry. All AJCC versions are used and grouped together.,,,,,,,,,,,,,,,,
2,metadata,123,Primary Diagnoses from Tumor Registry,CLINICAL_GROUP,,STRING,Cancer Stage - Clinical ,Clinical staging via tumor registry,,,,,,,,,,,,,,,,
2,metadata,124,Primary Diagnoses from Tumor Registry,PATH _GROUP,,STRING,Cancer Stage - Pathologic,Pathology staging via tumor registry,,,,,,,,,,,,,,,,
2,metadata,125,Primary Diagnoses from Tumor Registry,STAGE_CDM_DERIVED,,STRING,Cancer Stage - Aggregated,Cancer stage binned into stage 1-3 and stage 4 based on Cancer Stage AJCC/Clinical/Pathologic. Cases that are labeled 88 or 99 are converted to stage 1-3.,,,,,,,,These data exist within the tumor registry database and has shown to be missing data for 10-20% of patients. Patients with multple cancers are not always captured. Stage data for entries are also incomplete. ,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,
3,metadata,1,IMPACT ID Map,MRN,,STRING,MRN,Medical Record Number,,y,,,,,,,,MRN,pathology/ddp_pathology_reports.tsv,,,,,
3,metadata,2,IMPACT ID Map,DMP_ID,,STRING,Sample ID,MSK-IMPACT Sample ID,,,,,,,,,,PDRX_DMP_SAMPLE_ID,pathology/ddp_pathology_reports.tsv,,,,,
3,metadata,3,IMPACT ID Map,SAMPLE_ID,,STRING,Patient ID,MSK-IMPACT Patient ID,,,,,,,,,,PDRX_DMP_PATIENT_ID,pathology/ddp_pathology_reports.tsv,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,
